id,dt,amount,product,category,db
9fe24a23-d0ad-11ec-b16f-08c5e1cbfad9,2017-12-27,17.0,Tigari,Stuff,expenses
9fe3e82a-d0ad-11ec-bff8-08c5e1cbfad9,2017-12-27,6.0,Cola,Stuff,expenses
9fe4fa55-d0ad-11ec-8810-08c5e1cbfad9,2017-12-28,26.0,Datorie Consuela,Stuff,expenses
9fe6b323-d0ad-11ec-85bc-08c5e1cbfad9,2017-12-28,5.0,Fornetti,Stuff,expenses
9fe89371-d0ad-11ec-b740-08c5e1cbfad9,2017-12-28,17.0,Tigari,Stuff,expenses
9fe9e781-d0ad-11ec-988c-08c5e1cbfad9,2017-12-29,17.0,Tigari,Stuff,expenses
9feb4776-d0ad-11ec-85e9-08c5e1cbfad9,2017-12-30,105.0,Piata,Stuff,expenses
9fec3c8f-d0ad-11ec-98ed-08c5e1cbfad9,2017-12-31,33.0,Piata,Stuff,expenses
9feda4d3-d0ad-11ec-b79b-08c5e1cbfad9,2017-12-31,17.0,Tigari,Stuff,expenses
9fef41be-d0ad-11ec-8abd-08c5e1cbfad9,2017-12-31,8.0,Cola,Stuff,expenses
9ff08e30-d0ad-11ec-b5f3-08c5e1cbfad9,2017-12-31,27.0,Cartela Orange Tati,Stuff,expenses
9ff19c0a-d0ad-11ec-bfc6-08c5e1cbfad9,2018-01-01,17.0,Tigari,Stuff,expenses
9ff2abf7-d0ad-11ec-bbb4-08c5e1cbfad9,2018-01-02,15.0,Piata,Stuff,expenses
9ff3b4ef-d0ad-11ec-bec8-08c5e1cbfad9,2018-01-02,17.0,Tigari,Stuff,expenses
9ff52827-d0ad-11ec-9b04-08c5e1cbfad9,2018-01-03,10.0,Benzina,Stuff,expenses
9ff63884-d0ad-11ec-accc-08c5e1cbfad9,2018-01-03,2.0,Covrigi,Stuff,expenses
9ff74f7c-d0ad-11ec-8a6b-08c5e1cbfad9,2018-01-03,17.0,Tigari,Stuff,expenses
9ff84759-d0ad-11ec-9836-08c5e1cbfad9,2018-01-03,7.0,Cola,Stuff,expenses
9ff930b6-d0ad-11ec-a85b-08c5e1cbfad9,2018-01-04,33.0,Cartela GPS Tati,Stuff,expenses
9ffa52e7-d0ad-11ec-9758-08c5e1cbfad9,2018-01-04,19.0,Pizza Ok,Stuff,expenses
9ffb7962-d0ad-11ec-8b99-08c5e1cbfad9,2018-01-04,17.0,Tigari,Stuff,expenses
9ffd206d-d0ad-11ec-aba4-08c5e1cbfad9,2018-01-04,9.0,Oua,Stuff,expenses
9ffe0d34-d0ad-11ec-aea7-08c5e1cbfad9,2018-01-05,23.0,Bere,Stuff,expenses
9fff4c7c-d0ad-11ec-822a-08c5e1cbfad9,2018-01-05,20.0,Piata,Stuff,expenses
a0005b4e-d0ad-11ec-bfd8-08c5e1cbfad9,2018-01-06,10.0,Benzina,Stuff,expenses
a001a027-d0ad-11ec-9e51-08c5e1cbfad9,2018-01-06,10.0,Piata,Stuff,expenses
a0033240-d0ad-11ec-a3d8-08c5e1cbfad9,2018-01-06,17.0,Tigari,Stuff,expenses
a004b987-d0ad-11ec-92ea-08c5e1cbfad9,2018-01-06,6.0,Cola,Stuff,expenses
a005ced0-d0ad-11ec-81ff-08c5e1cbfad9,2018-01-07,15.0,Pizza Ok,Stuff,expenses
a00728ef-d0ad-11ec-8a72-08c5e1cbfad9,2018-01-07,17.0,Tigari,Stuff,expenses
a0084e59-d0ad-11ec-8dbb-08c5e1cbfad9,2018-01-09,33.0,Cartela Vodafone Alin,Stuff,expenses
a009e438-d0ad-11ec-a97d-08c5e1cbfad9,2018-01-09,24.0,Profi piata,Stuff,expenses
a00af917-d0ad-11ec-a8e9-08c5e1cbfad9,2018-01-09,30.0,Motorina,Stuff,expenses
a00c6909-d0ad-11ec-94d8-08c5e1cbfad9,2018-01-10,30.0,Motorina,Stuff,expenses
a00d527f-d0ad-11ec-8762-08c5e1cbfad9,2018-01-10,17.0,Tigari,Stuff,expenses
a00e6688-d0ad-11ec-9fa1-08c5e1cbfad9,2018-01-11,6.0,Profi piata,Stuff,expenses
a00f772e-d0ad-11ec-b2ff-08c5e1cbfad9,2018-01-11,20.0,Non Stop,Stuff,expenses
a01098bf-d0ad-11ec-9c52-08c5e1cbfad9,2018-01-12,33.0,Cartela Orange Alin,Stuff,expenses
a0121852-d0ad-11ec-8b1d-08c5e1cbfad9,2018-01-12,5.0,Cola,Stuff,expenses
a014b1e6-d0ad-11ec-a415-08c5e1cbfad9,2018-01-13,17.0,Tigari,Stuff,expenses
a015fd9a-d0ad-11ec-a673-08c5e1cbfad9,2018-01-13,23.0,Auchan,Stuff,expenses
a0170c46-d0ad-11ec-a2f6-08c5e1cbfad9,2018-01-14,30.0,Profi piata,Stuff,expenses
a0183738-d0ad-11ec-baae-08c5e1cbfad9,2018-01-15,3.0,Cola,Stuff,expenses
a0196c82-d0ad-11ec-ada6-08c5e1cbfad9,2018-01-16,5.0,Placinta,Stuff,expenses
a01a923c-d0ad-11ec-ad38-08c5e1cbfad9,2018-01-16,21.0,Lidl,Stuff,expenses
a01ba4e9-d0ad-11ec-be32-08c5e1cbfad9,2018-01-16,31.0,Non Stop,Stuff,expenses
a01cbdfc-d0ad-11ec-96d9-08c5e1cbfad9,2018-01-16,19.0,Urinal,Stuff,expenses
a01ec4fc-d0ad-11ec-85b1-08c5e1cbfad9,2018-01-17,17.0,Tigari,Stuff,expenses
a020015c-d0ad-11ec-bd19-08c5e1cbfad9,2018-01-17,5.0,Cola,Stuff,expenses
a0212b35-d0ad-11ec-b037-08c5e1cbfad9,2018-01-18,15.0,AlfaBeta,Stuff,expenses
a0224df4-d0ad-11ec-b93e-08c5e1cbfad9,2018-01-19,7.0,Piata,Stuff,expenses
a023a281-d0ad-11ec-8e8b-08c5e1cbfad9,2018-01-19,17.0,Tigari,Stuff,expenses
a024b75d-d0ad-11ec-a06c-08c5e1cbfad9,2018-01-20,47.0,Piata,Stuff,expenses
a025a0e6-d0ad-11ec-8731-08c5e1cbfad9,2018-01-21,12.0,Auchan,Stuff,expenses
a026d349-d0ad-11ec-80b4-08c5e1cbfad9,2018-01-21,25.0,Non Stop,Stuff,expenses
a027fc04-d0ad-11ec-b58c-08c5e1cbfad9,2018-01-22,6.0,McDonalds,Stuff,expenses
a028f900-d0ad-11ec-9037-08c5e1cbfad9,2018-01-22,17.0,Tigari,Stuff,expenses
a029f460-d0ad-11ec-bc45-08c5e1cbfad9,2018-01-22,5.0,Cola,Stuff,expenses
a02b0afe-d0ad-11ec-b706-08c5e1cbfad9,2018-01-22,12.0,Lidl,Stuff,expenses
a02c2e18-d0ad-11ec-9e86-08c5e1cbfad9,2018-01-23,7.0,Comisioane ING,Stuff,expenses
a02e263d-d0ad-11ec-bdce-08c5e1cbfad9,2018-01-23,15.0,Benzina,Stuff,expenses
a02f1ea1-d0ad-11ec-8309-08c5e1cbfad9,2018-01-23,14.0,Bere,Stuff,expenses
a0302446-d0ad-11ec-b021-08c5e1cbfad9,2018-01-23,17.0,Tigari,Stuff,expenses
a0315124-d0ad-11ec-9a4e-08c5e1cbfad9,2018-01-24,17.0,Pizza Ok,Stuff,expenses
a0325789-d0ad-11ec-b36e-08c5e1cbfad9,2018-01-24,34.0,Mouse,Stuff,expenses
a033dddd-d0ad-11ec-a208-08c5e1cbfad9,2018-01-24,17.0,Tigari,Stuff,expenses
a035528e-d0ad-11ec-9d1f-08c5e1cbfad9,2018-01-24,5.0,Profi piata,Stuff,expenses
a037bd3a-d0ad-11ec-af06-08c5e1cbfad9,2018-01-25,5.0,Cola,Stuff,expenses
a039854a-d0ad-11ec-844f-08c5e1cbfad9,2018-01-25,19.0,Profi piata,Stuff,expenses
a03a9cab-d0ad-11ec-b20a-08c5e1cbfad9,2018-01-27,17.0,Tigari,Stuff,expenses
a03c60f0-d0ad-11ec-8270-08c5e1cbfad9,2018-01-27,5.0,Cola,Stuff,expenses
a03e9587-d0ad-11ec-ab92-08c5e1cbfad9,2018-01-27,10.0,Profi piata,Stuff,expenses
a0401c71-d0ad-11ec-9493-08c5e1cbfad9,2018-01-28,28.0,Suc,Stuff,expenses
a0419206-d0ad-11ec-a1b7-08c5e1cbfad9,2018-01-29,5.0,RedBull,Stuff,expenses
a042c90b-d0ad-11ec-a32c-08c5e1cbfad9,2018-01-29,8.0,Cola,Stuff,expenses
a0445e25-d0ad-11ec-8540-08c5e1cbfad9,2018-01-29,17.0,Tigari,Stuff,expenses
a0459245-d0ad-11ec-bd3b-08c5e1cbfad9,2018-01-30,21.0,KFC,Stuff,expenses
a047495a-d0ad-11ec-b93d-08c5e1cbfad9,2018-01-31,5.0,Cola,Stuff,expenses
a04968c6-d0ad-11ec-ad87-08c5e1cbfad9,2018-01-31,10.0,Lidl,Stuff,expenses
a04aa2cd-d0ad-11ec-b0d1-08c5e1cbfad9,2018-01-31,33.0,Tigari,Stuff,expenses
a04c598e-d0ad-11ec-8551-08c5e1cbfad9,2018-01-31,100.0,Motorina,Stuff,expenses
a04db570-d0ad-11ec-b1f3-08c5e1cbfad9,2018-02-01,17.0,Tigari,Stuff,expenses
a04edb02-d0ad-11ec-9db4-08c5e1cbfad9,2018-02-01,5.0,Cola,Stuff,expenses
a0500430-d0ad-11ec-b15f-08c5e1cbfad9,2018-02-02,50.0,Motorina,Stuff,expenses
a0517907-d0ad-11ec-8923-08c5e1cbfad9,2018-02-02,28.0,Profi piata,Stuff,expenses
